WAFER_ID,WAFER_SEQ,CHAMBER,STAGE,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER,PAD_GROOVE_DEPTH_UM,PRESS_DOWNFORCE_Z1,PRESS_DOWNFORCE_Z2,PRESS_DOWNFORCE_Z3,PRESS_RETAINING_RING,ROTATION_TABLE_RPM,ROTATION_HEAD_RPM,FLOW_RATE_SLURRY,CURRENT_TABLE_MOTOR,TEMP_PAD,CONDITIONER_DOWNFORCE,RemovalRate,IS_SYNTHETIC
W1_0042,42,Chamber 1,Stage A,42,8.2,1127.5,3.764,3.704,3.649,5.087,91.85,86.4,218.85,19.5,42.13,8.63,2496.8,True
W1_0043,43,Chamber 1,Stage A,43,8.3,1130.6,3.817,3.718,3.659,5.1,92.03,85.94,222.34,19.5,42.46,8.54,2541.1,True
W1_0044,44,Chamber 1,Stage B,44,8.4,1134.1,2.387,2.361,2.366,3.284,64.87,60.48,159.18,16.38,32.09,8.19,1139.5,True
W1_0045,45,Chamber 1,Stage A,45,8.5,1126.5,3.81,3.717,3.673,5.019,92.09,86.31,217.04,19.63,42.5,8.67,2586.2,True
W1_0046,46,Chamber 1,Stage A,46,8.6,1120.2,3.807,3.71,3.623,5.172,91.66,86.03,219.04,19.46,42.76,8.57,2524.0,True
W1_0047,47,Chamber 1,Stage A,47,8.7,1125.1,3.787,3.735,3.671,5.084,92.35,86.54,220.83,19.27,41.88,8.78,2578.4,True
W1_0048,48,Chamber 1,Stage B,48,8.8,1126.2,2.398,2.36,2.27,3.362,65.05,60.04,161.45,16.49,32.49,8.57,1150.8,True
W1_0049,49,Chamber 1,Stage A,49,8.9,1122.4,3.848,3.709,3.618,5.124,92.02,86.44,216.62,19.39,42.26,8.73,2518.6,True
W1_0050,50,Chamber 1,Stage A,50,9.0,1120.3,3.802,3.685,3.609,5.113,92.67,85.9,216.99,19.44,41.43,8.46,2523.2,True
W1_0051,51,Chamber 1,Stage A,51,9.1,1115.7,3.855,3.758,3.64,5.075,93.03,86.02,220.03,19.53,42.65,8.5,2561.0,True
W1_0052,52,Chamber 1,Stage B,52,9.2,1111.1,2.384,2.331,2.307,3.227,65.6,58.94,162.18,16.28,32.22,8.69,1094.4,True
W1_0053,53,Chamber 1,Stage A,53,9.3,1115.4,3.767,3.777,3.676,5.194,92.29,85.55,218.95,19.35,42.22,8.57,2536.4,True
W1_0054,54,Chamber 1,Stage A,54,9.4,1115.1,3.813,3.713,3.683,5.076,92.25,86.24,219.38,19.36,42.31,8.55,2539.8,True
W1_0055,55,Chamber 1,Stage A,55,9.5,1109.1,3.779,3.682,3.601,5.16,91.49,86.7,215.84,19.4,42.25,8.75,2514.1,True
W1_0056,56,Chamber 1,Stage B,56,9.6,1109.0,2.433,2.355,2.309,3.222,64.98,60.12,156.58,16.47,32.92,8.3,1129.7,True
W1_0057,57,Chamber 1,Stage A,57,9.7,1098.6,3.784,3.701,3.654,5.081,92.16,85.32,222.06,19.64,42.64,8.57,2531.2,True
W1_0058,58,Chamber 1,Stage A,58,9.8,1108.5,3.762,3.705,3.649,5.156,91.71,86.07,218.49,19.15,41.47,8.41,2497.7,True
W1_0059,59,Chamber 1,Stage A,59,9.9,1102.5,3.772,3.803,3.663,5.139,91.66,86.28,218.85,19.91,43.32,8.52,2530.9,True
W1_0060,60,Chamber 1,Stage B,60,10.0,1103.5,2.453,2.333,2.358,3.275,64.78,60.25,161.95,16.36,32.32,8.59,1134.0,True
W1_0061,61,Chamber 1,Stage A,61,10.1,1100.4,3.805,3.684,3.659,5.161,92.22,86.43,195.67,19.52,41.84,8.57,2528.4,True
W1_0062,62,Chamber 1,Stage A,62,10.2,1096.5,3.762,3.692,3.68,5.128,92.27,86.01,194.06,19.36,42.14,8.64,2509.1,True
W1_0063,63,Chamber 1,Stage A,63,10.3,1096.4,3.807,3.71,3.686,5.085,91.93,85.82,196.89,19.62,42.26,8.53,2536.4,True
W1_0064,64,Chamber 1,Stage B,64,10.4,1090.7,2.432,2.336,2.346,3.355,64.85,59.82,136.91,16.39,32.52,8.74,1101.6,True
W1_0065,65,Chamber 1,Stage A,65,10.5,1093.4,3.77,3.701,3.647,5.142,92.62,85.6,195.97,19.33,42.44,8.47,2515.1,True
W1_0066,66,Chamber 1,Stage A,66,10.6,1093.0,3.815,3.733,3.722,5.098,91.79,85.75,192.89,19.57,43.26,8.4,2519.3,True
W1_0067,67,Chamber 1,Stage A,67,10.7,1088.7,3.783,3.743,3.654,5.054,92.62,86.72,192.77,19.61,42.65,8.44,2566.0,True
W1_0068,68,Chamber 1,Stage B,68,10.8,1092.0,2.376,2.311,2.282,3.238,65.72,59.79,134.45,16.41,33.55,8.5,1097.3,True
W1_0069,69,Chamber 1,Stage A,69,10.9,1085.5,3.82,3.779,3.666,5.112,92.24,86.44,195.64,19.79,43.23,8.58,2554.1,True
W1_0070,70,Chamber 1,Stage A,70,11.0,1093.2,3.804,3.76,3.623,5.148,91.84,86.01,196.56,19.54,41.9,8.53,2523.8,True
W1_0071,71,Chamber 1,Stage A,71,11.1,1083.4,3.791,3.731,3.655,5.209,91.96,86.11,195.22,19.52,42.19,8.53,2498.1,True
W1_0072,72,Chamber 1,Stage B,72,11.2,1079.2,2.379,2.388,2.258,3.212,65.15,60.63,133.87,16.3,32.54,8.42,1119.8,True
W1_0073,73,Chamber 1,Stage A,73,11.3,1079.4,3.769,3.745,3.655,5.102,91.49,86.35,195.3,19.5,42.58,8.49,2496.0,True
W1_0074,74,Chamber 1,Stage A,74,11.4,1083.2,3.807,3.717,3.659,5.067,92.58,85.97,196.23,19.57,42.67,8.55,2528.7,True
W1_0075,75,Chamber 1,Stage A,75,11.5,1074.5,3.806,3.745,3.645,5.202,91.73,86.72,193.92,19.57,42.18,8.29,2508.5,True
W1_0076,76,Chamber 1,Stage B,76,11.6,1078.1,2.343,2.338,2.231,3.161,65.3,60.31,134.85,16.26,32.53,8.35,1115.2,True
W1_0077,77,Chamber 1,Stage A,77,11.7,1078.5,3.793,3.725,3.654,5.028,91.9,85.73,192.0,19.58,43.04,8.46,2508.6,True
W1_0078,78,Chamber 1,Stage A,78,11.8,1068.5,3.828,3.726,3.629,5.165,92.16,86.36,195.27,19.43,42.51,8.66,2544.8,True
W1_0079,79,Chamber 1,Stage A,79,11.9,1069.8,3.852,3.73,3.628,5.106,91.87,86.17,195.05,19.63,42.93,8.41,2518.9,True
W1_0080,80,Chamber 1,Stage B,80,12.0,1072.2,2.404,2.37,2.273,3.227,64.33,60.16,135.29,16.33,32.48,8.43,1105.1,True
W1_0081,81,Chamber 1,Stage A,81,12.1,1068.3,3.851,3.71,3.68,5.128,91.93,86.35,195.3,19.59,43.3,8.26,2526.5,True
W1_0082,82,Chamber 1,Stage A,82,12.2,1060.2,3.808,3.707,3.628,5.129,92.47,86.22,193.26,18.95,41.58,8.62,2497.2,True
W1_0083,83,Chamber 1,Stage A,83,12.3,1069.1,3.761,3.759,3.634,5.147,91.98,86.19,194.15,19.39,42.41,8.31,2490.6,True
W1_0084,84,Chamber 1,Stage B,84,12.4,1061.3,2.426,2.342,2.294,3.224,65.83,60.15,134.86,16.42,32.66,8.65,1114.4,True
W1_0085,85,Chamber 1,Stage A,85,12.5,1064.2,3.822,3.726,3.67,5.126,92.03,85.2,195.83,19.75,41.69,8.55,2494.3,True
W1_0086,86,Chamber 1,Stage A,86,12.6,1057.9,3.769,3.742,3.616,5.099,92.77,85.92,194.43,19.52,42.42,8.63,2531.8,True
W1_0087,87,Chamber 1,Stage A,87,12.7,1057.7,3.806,3.756,3.681,5.189,92.26,85.54,223.27,19.49,42.17,8.33,2517.7,True
W1_0088,88,Chamber 1,Stage B,88,12.8,1055.3,2.413,2.4,2.318,3.228,65.39,60.48,157.54,16.62,32.78,8.59,1124.6,True
W1_0089,89,Chamber 1,Stage A,89,12.9,1050.4,3.795,3.724,3.615,5.058,92.64,85.66,218.02,19.51,41.54,8.18,2507.6,True
W1_0090,90,Chamber 1,Stage A,90,13.0,1054.9,3.868,3.753,3.638,5.005,92.92,85.44,216.71,19.81,43.64,8.65,2529.7,True
W1_0091,91,Chamber 1,Stage A,91,13.1,1053.5,3.823,3.732,3.651,5.127,91.7,85.89,216.61,19.33,41.51,8.49,2516.2,True
W1_0092,92,Chamber 1,Stage B,92,13.2,1050.0,2.353,2.322,2.332,3.191,64.91,60.22,158.06,16.36,32.18,8.52,1075.1,True
W1_0093,93,Chamber 1,Stage A,93,13.3,1040.9,3.799,3.741,3.655,5.198,92.05,85.83,220.24,19.36,42.22,8.58,2485.8,True
W1_0094,94,Chamber 1,Stage A,94,13.4,1046.1,3.852,3.687,3.627,5.094,92.36,85.88,222.5,19.67,42.02,8.4,2476.0,True
W1_0095,95,Chamber 1,Stage A,95,13.5,1040.0,3.819,3.736,3.642,5.124,92.02,85.94,221.93,19.36,41.58,8.83,2533.9,True
W1_0096,96,Chamber 1,Stage B,96,13.6,1038.5,2.449,2.402,2.287,3.268,65.65,59.85,159.59,16.27,32.37,8.41,1121.9,True
W1_0097,97,Chamber 1,Stage A,97,13.7,1042.2,3.807,3.677,3.658,5.172,91.2,86.15,222.46,19.49,42.74,8.32,2471.5,True
W1_0098,98,Chamber 1,Stage A,98,13.8,1037.0,3.802,3.74,3.62,5.138,91.43,85.96,218.19,19.59,42.82,8.39,2459.4,True
W1_0099,99,Chamber 1,Stage A,99,13.9,1029.3,3.836,3.728,3.718,5.15,92.08,85.88,220.27,19.46,42.84,8.48,2489.5,True
W1_0100,100,Chamber 1,Stage B,100,14.0,1036.3,2.415,2.319,2.239,3.259,66.0,60.0,161.68,16.36,32.83,8.51,1102.4,True
W1_0101,101,Chamber 1,Stage A,101,14.1,1038.9,3.78,3.754,3.643,5.092,92.21,85.64,220.06,19.52,42.64,8.5,2494.8,True
W1_0102,102,Chamber 1,Stage A,102,14.2,1023.8,3.817,3.724,3.609,5.077,91.88,85.76,219.63,19.49,42.21,8.51,2472.9,True
W1_0103,103,Chamber 1,Stage A,103,14.3,1028.5,3.772,3.72,3.612,5.16,92.61,86.49,219.57,19.36,42.06,8.72,2476.0,True
W1_0104,104,Chamber 1,Stage B,104,14.4,1021.2,2.405,2.357,2.304,3.262,65.48,60.38,157.03,16.44,32.39,8.12,1090.8,True
W1_0105,105,Chamber 1,Stage A,105,14.5,1031.5,3.816,3.747,3.631,5.0,91.78,86.16,217.04,19.42,42.29,8.53,2467.0,True
W1_0106,106,Chamber 1,Stage A,106,14.6,1029.3,3.795,3.723,3.62,5.108,91.65,85.93,223.42,19.17,41.88,8.29,2454.3,True
W1_0107,107,Chamber 1,Stage A,107,14.7,1025.3,3.782,3.779,3.668,5.106,92.86,85.76,221.48,19.59,43.17,8.54,2487.1,True
W1_0108,108,Chamber 1,Stage B,108,14.8,1024.7,2.38,2.412,2.308,3.222,65.07,59.46,158.06,16.42,32.18,8.68,1118.0,True
W1_0109,109,Chamber 1,Stage A,109,14.9,1020.4,3.83,3.701,3.605,5.205,91.87,85.9,222.66,19.36,42.81,8.58,2477.3,True
W1_0110,110,Chamber 1,Stage A,110,15.0,1017.4,3.808,3.77,3.663,5.157,92.43,85.85,218.32,19.1,42.13,8.34,2488.1,True
W1_0111,111,Chamber 1,Stage A,111,15.1,1017.6,3.809,3.748,3.674,5.101,91.93,86.11,219.5,19.54,42.56,8.74,2502.4,True
W1_0112,112,Chamber 1,Stage B,112,15.2,1008.2,2.361,2.364,2.284,3.214,65.23,60.5,160.04,16.73,32.9,8.55,1103.2,True
W1_0113,113,Chamber 1,Stage A,113,15.3,1008.8,3.823,3.735,3.687,5.164,91.94,85.51,219.58,19.51,42.09,8.37,2483.2,True
W1_0114,114,Chamber 1,Stage A,114,15.4,1010.4,3.813,3.76,3.63,5.123,92.01,85.69,221.3,19.39,41.95,8.48,2481.2,True
W1_0115,115,Chamber 1,Stage A,115,15.5,1016.4,3.852,3.712,3.655,5.177,91.43,85.3,216.95,19.25,42.57,8.69,2461.4,True
W1_0116,116,Chamber 1,Stage B,116,15.6,1012.4,2.46,2.414,2.34,3.291,65.24,60.31,158.9,16.41,32.71,8.38,1132.9,True
W1_0117,117,Chamber 1,Stage A,117,15.7,1011.8,3.803,3.768,3.614,5.12,91.71,85.25,219.83,19.42,42.68,8.48,2480.7,True
W1_0118,118,Chamber 1,Stage A,118,15.8,1004.7,3.817,3.717,3.619,5.111,92.44,86.75,223.09,19.1,41.76,8.43,2479.9,True
W1_0119,119,Chamber 1,Stage A,119,15.9,999.7,3.786,3.676,3.663,5.103,91.53,84.85,219.94,19.43,42.25,8.77,2436.7,True
W1_0120,120,Chamber 1,Stage B,120,16.0,1000.9,2.409,2.375,2.341,3.235,64.92,59.65,158.35,16.34,32.93,8.47,1120.3,True
W1_0121,121,Chamber 1,Stage A,121,16.1,1001.5,3.799,3.702,3.575,5.174,92.29,85.89,220.13,19.24,41.18,8.58,2421.5,True
W1_0122,122,Chamber 1,Stage A,122,16.2,1001.5,3.759,3.738,3.647,5.049,92.47,85.71,218.38,19.5,42.09,8.53,2460.4,True
W1_0123,123,Chamber 1,Stage A,123,16.3,997.1,3.805,3.713,3.623,5.134,91.57,84.83,220.87,19.11,40.68,8.64,2458.8,True
W1_0124,124,Chamber 1,Stage B,124,16.4,989.1,2.378,2.347,2.345,3.208,64.68,59.81,158.09,16.43,32.88,8.52,1082.1,True
W1_0125,125,Chamber 1,Stage A,125,16.5,1001.2,3.826,3.722,3.643,5.29,92.12,85.7,219.15,19.48,41.62,8.67,2445.3,True
W1_0126,126,Chamber 1,Stage A,126,16.6,993.8,3.832,3.711,3.686,5.133,92.34,86.19,218.31,19.48,42.39,8.4,2457.9,True
W1_0127,127,Chamber 1,Stage A,127,16.7,992.8,3.862,3.692,3.649,5.201,91.97,86.18,217.88,19.48,42.27,8.56,2498.4,True
W1_0128,128,Chamber 1,Stage B,128,16.8,986.4,2.41,2.358,2.293,3.257,64.88,60.07,162.64,16.42,33.11,8.35,1055.8,True
W1_0129,129,Chamber 1,Stage A,129,16.9,992.0,3.839,3.723,3.618,5.105,92.34,86.22,219.52,19.5,41.62,8.44,2453.0,True
W1_0130,130,Chamber 1,Stage A,130,17.0,984.5,3.846,3.754,3.635,5.15,91.99,85.64,220.65,19.53,42.31,8.32,2460.6,True
W1_0131,131,Chamber 1,Stage A,131,17.1,986.4,3.818,3.71,3.674,5.063,92.05,86.78,218.0,19.49,42.32,8.4,2470.5,True
W1_0132,132,Chamber 1,Stage B,132,17.2,981.8,2.433,2.364,2.297,3.274,65.76,59.95,158.05,16.48,31.94,8.67,1088.2,True
W1_0133,133,Chamber 1,Stage A,133,17.3,982.0,3.81,3.73,3.669,5.108,92.21,85.9,221.48,19.22,42.01,8.59,2465.5,True
W1_0134,134,Chamber 1,Stage A,134,17.4,978.2,3.855,3.717,3.638,5.129,91.88,86.32,216.77,19.43,41.93,8.34,2450.8,True
W1_0135,135,Chamber 1,Stage A,135,17.5,979.3,3.802,3.759,3.62,5.142,92.39,86.2,220.38,19.0,41.26,8.65,2423.3,True
W1_0136,136,Chamber 1,Stage B,136,17.6,974.9,2.441,2.348,2.333,3.321,65.53,60.66,161.48,16.25,32.33,8.51,1135.1,True
W1_0137,137,Chamber 1,Stage A,137,17.7,968.3,3.804,3.741,3.649,5.215,91.75,86.08,218.52,19.24,41.72,8.3,2429.7,True
W1_0138,138,Chamber 1,Stage A,138,17.8,975.0,3.798,3.679,3.671,5.134,91.42,85.88,218.5,19.47,41.73,8.55,2419.1,True
W1_0139,139,Chamber 1,Stage A,139,17.9,971.7,3.806,3.701,3.638,5.09,92.43,86.01,223.8,19.09,41.22,8.49,2412.9,True
W1_0140,140,Chamber 1,Stage B,140,18.0,965.1,2.415,2.305,2.331,3.216,65.06,60.64,161.79,16.26,31.75,8.46,1081.7,True
W1_0141,141,Chamber 1,Stage A,141,18.1,971.2,3.796,3.726,3.641,5.097,92.07,86.18,217.82,19.4,41.89,8.71,2437.6,True
W1_0142,142,Chamber 1,Stage A,142,18.2,961.6,3.809,3.706,3.659,5.073,92.04,85.99,219.58,19.14,41.08,8.48,2434.4,True
W1_0143,143,Chamber 1,Stage A,143,18.3,965.2,3.838,3.698,3.677,5.151,91.74,86.71,217.61,19.62,42.15,8.64,2440.8,True
W1_0144,144,Chamber 1,Stage B,144,18.4,961.5,2.408,2.348,2.328,3.28,64.3,60.52,156.68,16.39,32.36,8.65,1062.6,True
W1_0145,145,Chamber 1,Stage A,145,18.5,960.6,3.791,3.747,3.687,5.2,91.78,85.92,216.63,19.33,42.77,8.38,2425.9,True
W1_0146,146,Chamber 1,Stage A,146,18.6,965.5,3.808,3.7,3.661,5.106,91.99,86.22,220.01,19.29,41.83,8.43,2424.6,True
W1_0147,147,Chamber 1,Stage A,147,18.7,964.4,3.817,3.715,3.669,5.113,92.47,86.15,219.79,19.07,41.08,8.57,2441.5,True
W1_0148,148,Chamber 1,Stage B,148,18.8,956.8,2.467,2.371,2.319,3.15,64.78,59.68,158.76,16.44,31.89,8.47,1069.3,True
W1_0149,149,Chamber 1,Stage A,149,18.9,955.2,3.862,3.696,3.572,5.116,92.44,86.78,217.54,19.56,41.72,8.57,2406.7,True
W1_0150,150,Chamber 1,Stage A,150,19.0,952.3,3.814,3.757,3.651,5.145,91.84,86.11,219.31,19.3,41.91,8.59,2447.6,True
W1_0151,151,Chamber 1,Stage A,151,19.1,952.9,3.747,3.762,3.621,5.097,91.76,86.55,215.73,19.42,42.26,8.97,2418.0,True
W1_0152,152,Chamber 1,Stage B,152,19.2,947.6,2.419,2.369,2.307,3.23,64.94,59.92,162.27,16.24,32.24,8.59,1077.4,True
W1_0153,153,Chamber 1,Stage A,153,19.3,945.0,3.834,3.752,3.625,5.15,91.61,85.45,218.75,19.49,42.31,8.63,2420.4,True
W1_0154,154,Chamber 1,Stage A,154,19.4,945.3,3.813,3.748,3.671,5.189,92.28,86.14,222.14,19.19,41.61,8.5,2424.3,True
W1_0155,155,Chamber 1,Stage A,155,19.5,947.6,3.776,3.715,3.591,5.141,92.0,85.67,221.32,19.01,40.88,8.64,2376.5,True
W1_0156,156,Chamber 1,Stage B,156,19.6,947.6,2.394,2.344,2.244,3.272,64.5,60.02,160.55,16.28,31.25,8.7,1081.8,True
W1_0157,157,Chamber 1,Stage A,157,19.7,938.2,3.806,3.709,3.672,5.081,92.19,86.2,222.12,19.37,41.87,8.91,2393.9,True
W1_0158,158,Chamber 1,Stage A,158,19.8,938.1,3.788,3.708,3.653,5.089,92.45,86.0,219.98,19.24,42.13,8.45,2401.5,True
W1_0159,159,Chamber 1,Stage A,159,19.9,927.9,3.76,3.699,3.634,5.174,92.11,86.08,221.7,19.35,41.82,8.48,2385.8,True
W1_0160,160,Chamber 1,Stage B,160,20.0,934.2,2.396,2.395,2.332,3.288,65.49,60.04,160.39,16.49,32.69,8.41,1080.5,True
W1_0161,161,Chamber 1,Stage A,161,20.1,936.8,3.8,3.742,3.605,5.015,91.78,85.51,218.98,19.26,41.98,8.48,2395.6,True
W1_0162,162,Chamber 1,Stage A,162,20.2,939.3,3.766,3.755,3.646,5.164,91.57,85.38,221.64,19.28,41.11,8.56,2371.6,True
W1_0163,163,Chamber 1,Stage A,163,20.3,920.8,3.773,3.743,3.638,5.16,91.78,85.93,220.08,19.35,41.85,8.35,2380.6,True
W1_0164,164,Chamber 1,Stage B,164,20.4,929.5,2.394,2.424,2.328,3.239,64.89,60.01,161.09,16.51,32.93,8.32,1084.9,True
W1_0165,165,Chamber 1,Stage A,165,20.5,926.9,3.82,3.742,3.637,5.101,92.04,86.62,217.52,19.37,41.96,8.28,2417.9,True
W1_0166,166,Chamber 1,Stage A,166,20.6,924.8,3.845,3.676,3.623,5.125,91.34,85.93,223.32,19.23,41.37,8.5,2377.7,True
W1_0167,167,Chamber 1,Stage A,167,20.7,928.4,3.838,3.741,3.615,5.142,92.2,86.46,223.16,19.21,41.2,8.35,2418.1,True
W1_0168,168,Chamber 1,Stage B,168,20.8,928.3,2.398,2.342,2.309,3.198,65.84,59.36,160.37,16.32,32.39,8.8,1061.2,True
W1_0169,169,Chamber 1,Stage A,169,20.9,922.9,3.734,3.77,3.605,5.117,91.83,86.24,216.8,19.51,41.97,8.57,2371.5,True
W1_0170,170,Chamber 1,Stage A,170,21.0,919.5,3.801,3.705,3.663,5.22,91.92,86.29,217.41,19.38,42.38,8.36,2390.1,True
W1_0171,171,Chamber 1,Stage A,171,21.1,920.8,3.762,3.742,3.674,5.107,91.81,86.11,219.13,19.49,42.42,8.49,2382.5,True
W1_0172,172,Chamber 1,Stage B,172,21.2,919.1,2.395,2.333,2.344,3.311,64.76,59.25,162.02,16.46,31.92,8.4,1036.4,True
W1_0173,173,Chamber 1,Stage A,173,21.3,913.8,3.8,3.695,3.636,5.164,92.04,86.23,223.95,19.37,42.31,8.27,2365.0,True
